  
 Print of DATAOBJECT Table in situation STEP_2 of component DFLT_COMP
 ====================================================================
  
 > Complex eigenvalues and frequencies in component system (Table CVALTAB.DISP)
 ----------------------------------------------------------------------------------------------------------
       Row       Frequency   Real(Lambda) Imag(Lambda) Damp.Coeff.   Circ.Freq   Eq.Dmp.Ratio  Ref.Freq.
 ----------------------------------------------------------------------------------------------------------
              1  2.76358E+00 -5.46075E+00  1.73641E+01 -5.46075E+00  1.73641E+01  3.00000E-01  0.00000E+00
              2 -2.76358E+00 -5.46075E+00 -1.73641E+01 -5.46075E+00 -1.73641E+01  3.00000E-01  0.00000E+00
              3  8.88078E+00 -5.47648E+00  5.57996E+01 -5.47648E+00  5.57996E+01  9.76762E-02  0.00000E+00
              4 -8.88078E+00 -5.47648E+00 -5.57996E+01 -5.47648E+00 -5.57996E+01  9.76762E-02  0.00000E+00
              5  2.08165E+01 -5.55475E+00  1.30794E+02 -5.55475E+00  1.30794E+02  4.24312E-02  0.00000E+00
              6 -2.08165E+01 -5.55475E+00 -1.30794E+02 -5.55475E+00 -1.30794E+02  4.24312E-02  0.00000E+00
              7  3.54067E+01 -5.73589E+00  2.22467E+02 -5.73589E+00  2.22467E+02  2.57745E-02  0.00000E+00
              8 -3.54067E+01 -5.73589E+00 -2.22467E+02 -5.73589E+00 -2.22467E+02  2.57745E-02  0.00000E+00
              9  5.60085E+01 -6.15175E+00  3.51912E+02 -6.15175E+00  3.51912E+02  1.74783E-02  0.00000E+00
             10 -5.60085E+01 -6.15175E+00 -3.51912E+02 -6.15175E+00 -3.51912E+02  1.74783E-02  0.00000E+00
             11  7.86151E+01 -6.82377E+00  4.93953E+02 -6.82377E+00  4.93953E+02  1.38133E-02  0.00000E+00
             12 -7.86151E+01 -6.82377E+00 -4.93953E+02 -6.82377E+00 -4.93953E+02  1.38133E-02  0.00000E+00
             13  1.07714E+02 -8.02105E+00  6.76788E+02 -8.02105E+00  6.76788E+02  1.18508E-02  0.00000E+00
             14 -1.07714E+02 -8.02105E+00 -6.76788E+02 -8.02105E+00 -6.76788E+02  1.18508E-02  0.00000E+00
             15  1.35469E+02 -9.51149E+00  8.51177E+02 -9.51149E+00  8.51177E+02  1.11738E-02  0.00000E+00
             16 -1.35469E+02 -9.51149E+00 -8.51177E+02 -9.51149E+00 -8.51177E+02  1.11738E-02  0.00000E+00
             17  1.66550E+02 -1.15844E+01  1.04646E+03 -1.15844E+01  1.04646E+03  1.10693E-02  0.00000E+00
             18 -1.66550E+02 -1.15844E+01 -1.04646E+03 -1.15844E+01 -1.04646E+03  1.10693E-02  0.00000E+00
             19  1.74819E+02 -1.22078E+01  1.09842E+03 -1.22078E+01  1.09842E+03  1.11132E-02  0.00000E+00
             20 -1.74819E+02 -1.22078E+01 -1.09842E+03 -1.22078E+01 -1.09842E+03  1.11132E-02  0.00000E+00
             21  2.17321E+02 -1.58883E+01  1.36547E+03 -1.58883E+01  1.36547E+03  1.16350E-02  0.00000E+00
             22 -2.17321E+02 -1.58883E+01 -1.36547E+03 -1.58883E+01 -1.36547E+03  1.16350E-02  0.00000E+00
             23  2.55370E+02 -1.98603E+01  1.60454E+03 -1.98603E+01  1.60454E+03  1.23766E-02  0.00000E+00
             24 -2.55370E+02 -1.98603E+01 -1.60454E+03 -1.98603E+01 -1.60454E+03  1.23766E-02  0.00000E+00
             25  3.04496E+02 -2.59347E+01  1.91320E+03 -2.59347E+01  1.91320E+03  1.35544E-02  0.00000E+00
             26 -3.04496E+02 -2.59347E+01 -1.91320E+03 -2.59347E+01 -1.91320E+03  1.35544E-02  0.00000E+00
             27  3.25672E+02 -2.88820E+01  2.04626E+03 -2.88820E+01  2.04626E+03  1.41132E-02  0.00000E+00
             28 -3.25672E+02 -2.88820E+01 -2.04626E+03 -2.88820E+01 -2.04626E+03  1.41132E-02  0.00000E+00
             29  3.61945E+02 -3.43912E+01  2.27417E+03 -3.43912E+01  2.27417E+03  1.51208E-02  0.00000E+00
             30 -3.61945E+02 -3.43912E+01 -2.27417E+03 -3.43912E+01 -2.27417E+03  1.51208E-02  0.00000E+00
             31  4.04679E+02 -4.16278E+01  2.54267E+03 -4.16278E+01  2.54267E+03  1.63695E-02  0.00000E+00
             32 -4.04679E+02 -4.16278E+01 -2.54267E+03 -4.16278E+01 -2.54267E+03  1.63695E-02  0.00000E+00
             33  4.64027E+02 -5.30173E+01  2.91556E+03 -5.30173E+01  2.91556E+03  1.81812E-02  0.00000E+00
             34 -4.64027E+02 -5.30173E+01 -2.91556E+03 -5.30173E+01 -2.91556E+03  1.81812E-02  0.00000E+00
             35  4.91305E+02 -5.87750E+01  3.08696E+03 -5.87750E+01  3.08696E+03  1.90363E-02  0.00000E+00
             36 -4.91305E+02 -5.87750E+01 -3.08696E+03 -5.87750E+01 -3.08696E+03  1.90363E-02  0.00000E+00
             37  5.32195E+02 -6.80221E+01  3.34388E+03 -6.80221E+01  3.34388E+03  2.03381E-02  0.00000E+00
             38 -5.32195E+02 -6.80221E+01 -3.34388E+03 -6.80221E+01 -3.34388E+03  2.03381E-02  0.00000E+00
             39  5.81161E+02 -8.00693E+01  3.65154E+03 -8.00693E+01  3.65154E+03  2.19223E-02  0.00000E+00
             40 -5.81161E+02 -8.00693E+01 -3.65154E+03 -8.00693E+01 -3.65154E+03  2.19223E-02  0.00000E+00
             41  6.50160E+02 -9.88472E+01  4.08508E+03 -9.88472E+01  4.08508E+03  2.41901E-02  0.00000E+00
             42 -6.50160E+02 -9.88472E+01 -4.08508E+03 -9.88472E+01 -4.08508E+03  2.41901E-02  0.00000E+00
             43  6.63401E+02 -1.02692E+02  4.16827E+03 -1.02692E+02  4.16827E+03  2.46291E-02  0.00000E+00
             44 -6.63401E+02 -1.02692E+02 -4.16827E+03 -1.02692E+02 -4.16827E+03  2.46291E-02  0.00000E+00
