  
 Print of DATAOBJECT Table in situation STEP_1 of component DFLT_COMP
 ====================================================================
  
 > Eigenvalues and frequencies in component system (Table RVALTAB.DISP)
 ------------------------------------------------------
       Row       Frequency    Eigenvalue   Circ.Freq.
 ------------------------------------------------------
              1  2.89702E+00  3.01813E-03  1.82025E+01
              2  8.92345E+00  3.18108E-04  5.60677E+01
              3  2.08353E+01  5.83502E-05  1.30912E+02
              4  3.54184E+01  2.01921E-05  2.22541E+02
              5  5.60171E+01  8.07234E-06  3.51966E+02
              6  7.86226E+01  4.09775E-06  4.94000E+02
              7  1.07722E+02  2.18290E-06  6.76836E+02
              8  1.35478E+02  1.38009E-06  8.51230E+02
              9  1.66560E+02  9.13056E-07  1.04653E+03
             10  1.74830E+02  8.28721E-07  1.09849E+03
             11  2.17336E+02  5.36262E-07  1.36556E+03
             12  2.55390E+02  3.88359E-07  1.60466E+03
             13  3.04524E+02  2.73148E-07  1.91338E+03
             14  3.25704E+02  2.38778E-07  2.04646E+03
             15  3.61987E+02  1.93310E-07  2.27443E+03
             16  4.04733E+02  1.54633E-07  2.54301E+03
             17  4.64103E+02  1.17601E-07  2.91605E+03
             18  4.91394E+02  1.04901E-07  3.08752E+03
             19  5.32305E+02  8.93962E-08  3.34457E+03
             20  5.81300E+02  7.49616E-08  3.65242E+03
             21  6.50350E+02  5.98888E-08  4.08627E+03
             22  6.63602E+02  5.75208E-08  4.16954E+03
             23  7.24303E+02  4.82836E-08  4.55093E+03
             24  7.80897E+02  4.15386E-08  4.90652E+03
             25  8.38395E+02  3.60365E-08  5.26779E+03
             26  8.60868E+02  3.41796E-08  5.40900E+03
             27  9.40990E+02  2.86069E-08  5.91241E+03
             28  9.84923E+02  2.61118E-08  6.18845E+03
             29  1.03127E+03  2.38172E-08  6.47969E+03
             30  1.09185E+03  2.12477E-08  6.86032E+03
             31  1.16504E+03  1.86621E-08  7.32015E+03
             32  1.18061E+03  1.81731E-08  7.41798E+03
             33  1.27029E+03  1.56977E-08  7.98145E+03
             34  1.31288E+03  1.46956E-08  8.24910E+03
             35  1.36680E+03  1.35590E-08  8.58788E+03
             36  1.43402E+03  1.23176E-08  9.01024E+03
             37  1.49127E+03  1.13902E-08  9.36990E+03
             38  1.53260E+03  1.07841E-08  9.62959E+03
             39  1.62867E+03  9.54932E-09  1.02333E+04
             40  1.63589E+03  9.46524E-09  1.02786E+04
             41  1.72596E+03  8.50309E-09  1.08446E+04
             42  1.77582E+03  8.03230E-09  1.11578E+04
             43  1.82806E+03  7.57979E-09  1.14861E+04
             44  1.89575E+03  7.04820E-09  1.19113E+04
             45  1.94546E+03  6.69259E-09  1.22237E+04
             46  1.99755E+03  6.34814E-09  1.25510E+04
             47  2.07383E+03  5.88969E-09  1.30303E+04
             48  2.09373E+03  5.77827E-09  1.31553E+04
             49  2.18736E+03  5.29421E-09  1.37436E+04
             50  2.19841E+03  5.24111E-09  1.38130E+04
             51  2.27892E+03  4.87734E-09  1.43189E+04
             52  2.31373E+03  4.73168E-09  1.45376E+04
             53  2.36874E+03  4.51446E-09  1.48832E+04
             54  2.41677E+03  4.33680E-09  1.51850E+04
             55  2.45748E+03  4.19430E-09  1.54408E+04
             56  2.50655E+03  4.03170E-09  1.57491E+04
             57  2.54465E+03  3.91187E-09  1.59885E+04
             58  2.58564E+03  3.78883E-09  1.62460E+04
             59  2.62673E+03  3.67122E-09  1.65042E+04
             60  2.65673E+03  3.58876E-09  1.66927E+04
             61  2.70060E+03  3.47311E-09  1.69684E+04
             62  2.72085E+03  3.42162E-09  1.70956E+04
             63  2.76523E+03  3.31267E-09  1.73745E+04
             64  2.77817E+03  3.28187E-09  1.74558E+04
             65  2.82067E+03  3.18373E-09  1.77228E+04
             66  2.82865E+03  3.16578E-09  1.77730E+04
             67  2.86738E+03  3.08085E-09  1.80163E+04
             68  2.87221E+03  3.07049E-09  1.80466E+04
             69  2.90591E+03  2.99968E-09  1.82584E+04
             70  2.90881E+03  2.99371E-09  1.82766E+04
             71  2.93679E+03  2.93693E-09  1.84524E+04
             72  2.93849E+03  2.93355E-09  1.84630E+04
             73  2.96043E+03  2.89022E-09  1.86009E+04
             74  2.96135E+03  2.88842E-09  1.86067E+04
             75  2.97713E+03  2.85789E-09  1.87058E+04
             76  2.97753E+03  2.85711E-09  1.87084E+04
             77  2.98707E+03  2.83889E-09  1.87683E+04
             78  2.98718E+03  2.83869E-09  1.87690E+04
             79  3.59754E+03  1.95717E-09  2.26040E+04
             80  3.60286E+03  1.95140E-09  2.26374E+04
             81  3.61178E+03  1.94177E-09  2.26935E+04
             82  3.62439E+03  1.92828E-09  2.27727E+04
             83  3.64077E+03  1.91097E-09  2.28756E+04
             84  3.66096E+03  1.88995E-09  2.30025E+04
             85  3.68492E+03  1.86545E-09  2.31530E+04
             86  3.71240E+03  1.83794E-09  2.33257E+04
             87  3.74309E+03  1.80792E-09  2.35185E+04
             88  3.77707E+03  1.77553E-09  2.37321E+04
             89  3.81552E+03  1.73993E-09  2.39736E+04
             90  3.86063E+03  1.69951E-09  2.42571E+04
             91  3.91469E+03  1.65290E-09  2.45967E+04
             92  3.97941E+03  1.59957E-09  2.50033E+04
