"Time";"N101,u"
 0.000000E+00 ; 0.000000E+00
 1.000000E-04 ; 7.995795E-04
 2.000000E-04 ; 1.598229E-03
 3.000000E-04 ; 2.395630E-03
 4.000000E-04 ; 3.191092E-03
 5.000000E-04 ; 3.983372E-03
 6.000000E-04 ; 4.770510E-03
 7.000000E-04 ; 5.549665E-03
 8.000000E-04 ; 6.316985E-03
 9.000000E-04 ; 7.067503E-03
 1.000000E-03 ; 7.795087E-03
 1.100000E-03 ; 8.492453E-03
 1.200000E-03 ; 9.151266E-03
 1.300000E-03 ; 9.762339E-03
 1.400000E-03 ; 1.031593E-02
 1.500000E-03 ; 1.080215E-02
 1.600000E-03 ; 1.121144E-02
 1.700000E-03 ; 1.153512E-02
 1.800000E-03 ; 1.176593E-02
 1.900000E-03 ; 1.189850E-02
 2.000000E-03 ; 1.192975E-02
 2.100000E-03 ; 1.185911E-02
 2.200000E-03 ; 1.168855E-02
 2.300000E-03 ; 1.142247E-02
 2.400000E-03 ; 1.106735E-02
 2.500000E-03 ; 1.063129E-02
 2.600000E-03 ; 1.012355E-02
 2.700000E-03 ; 9.553949E-03
 2.800000E-03 ; 8.932388E-03
 2.900000E-03 ; 8.268402E-03
 3.000000E-03 ; 7.570815E-03
 3.100000E-03 ; 6.847496E-03
 3.200000E-03 ; 6.105221E-03
 3.300000E-03 ; 5.349613E-03
 3.400000E-03 ; 4.585168E-03
 3.500000E-03 ; 3.815323E-03
 3.600000E-03 ; 3.042579E-03
 3.700000E-03 ; 2.268630E-03
 3.800000E-03 ; 1.494531E-03
 3.900000E-03 ; 7.208508E-04
 4.000000E-03 ;-5.215574E-05
 4.100000E-03 ;-8.243819E-04
 4.200000E-03 ;-1.595703E-03
 4.300000E-03 ;-2.365811E-03
 4.400000E-03 ;-3.134052E-03
 4.500000E-03 ;-3.899265E-03
 4.600000E-03 ;-4.659629E-03
 4.700000E-03 ;-5.412521E-03
 4.800000E-03 ;-6.154394E-03
 4.900000E-03 ;-6.880683E-03
 5.000000E-03 ;-7.585755E-03
 5.100000E-03 ;-8.262920E-03
 5.200000E-03 ;-8.904508E-03
 5.300000E-03 ;-9.502039E-03
 5.400000E-03 ;-1.004648E-02
 5.500000E-03 ;-1.052860E-02
 5.600000E-03 ;-1.093940E-02
 5.700000E-03 ;-1.127056E-02
 5.800000E-03 ;-1.151498E-02
 5.900000E-03 ;-1.166720E-02
 6.000000E-03 ;-1.172380E-02
 6.100000E-03 ;-1.168358E-02
 6.200000E-03 ;-1.154774E-02
 6.300000E-03 ;-1.131970E-02
 6.400000E-03 ;-1.100493E-02
 6.500000E-03 ;-1.061053E-02
 6.600000E-03 ;-1.014483E-02
 6.700000E-03 ;-9.616834E-03
 6.800000E-03 ;-9.035819E-03
 6.900000E-03 ;-8.410858E-03
 7.000000E-03 ;-7.750499E-03
 7.100000E-03 ;-7.062497E-03
