  
 Print of DATAOBJECT Table in situation STEP_1 of component DFLT_COMP
 ====================================================================
  
 > Eigenvalues and frequencies in component system (Table RVALTAB.DISP)
 ------------------------------------------------------
       Row       Frequency    Eigenvalue   Circ.Freq.
 ------------------------------------------------------
              1  1.59155E-01  1.00000E+00  1.00000E+00
              2  3.18310E-01  2.50000E-01  2.00000E+00
              3  4.77465E-01  1.11111E-01  3.00000E+00
              4  6.36620E-01  6.25000E-02  4.00000E+00
              5  7.95775E-01  4.00000E-02  5.00000E+00
              6  9.54930E-01  2.77778E-02  6.00000E+00
              7  1.11408E+00  2.04082E-02  7.00000E+00
              8  1.27324E+00  1.56250E-02  8.00000E+00
              9  1.43239E+00  1.23457E-02  9.00000E+00
             10  1.59155E+00  1.00000E-02  1.00000E+01
             11  1.75070E+00  8.26446E-03  1.10000E+01
             12  1.90986E+00  6.94444E-03  1.20000E+01
             13  2.06901E+00  5.91716E-03  1.30000E+01
             14  2.22817E+00  5.10204E-03  1.40000E+01
             15  2.38732E+00  4.44444E-03  1.50000E+01
             16  2.54648E+00  3.90625E-03  1.60000E+01
             17  2.70563E+00  3.46021E-03  1.70000E+01
             18  2.86479E+00  3.08642E-03  1.80000E+01
             19  3.02394E+00  2.77008E-03  1.90000E+01
             20  3.18310E+00  2.50000E-03  2.00000E+01
             21  3.34225E+00  2.26757E-03  2.10000E+01
             22  3.50141E+00  2.06612E-03  2.20000E+01
             23  3.66056E+00  1.89036E-03  2.30000E+01
             24  3.81972E+00  1.73611E-03  2.40000E+01
             25  3.97887E+00  1.60000E-03  2.50000E+01
             26  4.13803E+00  1.47929E-03  2.60000E+01
             27  4.29718E+00  1.37174E-03  2.70000E+01
             28  4.45634E+00  1.27551E-03  2.80000E+01
             29  4.61549E+00  1.18906E-03  2.90000E+01
             30  4.77465E+00  1.11111E-03  3.00000E+01
             31  4.93380E+00  1.04058E-03  3.10000E+01
             32  5.09296E+00  9.76563E-04  3.20000E+01
             33  5.25211E+00  9.18274E-04  3.30000E+01
             34  5.41127E+00  8.65052E-04  3.40000E+01
             35  5.57042E+00  8.16326E-04  3.50000E+01
             36  5.72958E+00  7.71605E-04  3.60000E+01
             37  5.88873E+00  7.30460E-04  3.70000E+01
             38  6.04789E+00  6.92521E-04  3.80000E+01
             39  6.20704E+00  6.57462E-04  3.90000E+01
             40  6.36620E+00  6.25000E-04  4.00000E+01
             41  6.52535E+00  5.94884E-04  4.10000E+01
             42  6.68451E+00  5.66893E-04  4.20000E+01
             43  6.84366E+00  5.40833E-04  4.30000E+01
             44  7.00282E+00  5.16529E-04  4.40000E+01
             45  7.16197E+00  4.93827E-04  4.50000E+01
             46  7.32113E+00  4.72590E-04  4.60000E+01
             47  7.48028E+00  4.52694E-04  4.70000E+01
             48  7.63944E+00  4.34028E-04  4.80000E+01
             49  7.79859E+00  4.16493E-04  4.90000E+01
             50  7.95775E+00  4.00000E-04  5.00000E+01
 ------------------------------------------------------
  
