"Coor_X";"Freq_7.5533E+01_u"
 0.000000E+00 ; 0.000000E+00
 1.000000E+00 ; 1.500080E-01
 2.000000E+00 ; 2.966372E-01
 3.000000E+00 ; 4.365852E-01
 4.000000E+00 ; 5.666997E-01
 5.000000E+00 ; 6.840502E-01
 6.000000E+00 ; 7.859935E-01
 7.000000E+00 ; 8.702335E-01
 8.000000E+00 ; 9.348728E-01
 9.000000E+00 ; 9.784555E-01
 1.000000E+01 ; 9.999999E-01
 1.100000E+01 ; 2.100008E-02
 1.200000E+01 ; 1.954808E-02
 1.300000E+01 ; 1.765580E-02
 1.400000E+01 ; 1.536584E-02
 1.500000E+01 ; 1.272980E-02
 1.600000E+01 ; 9.807028E-03
 1.700000E+01 ; 6.663372E-03
 1.800000E+01 ; 3.369634E-03
 1.900000E+01 ; 0.000000E+00
